Unnamed: 0,date,review,rating,tokens
747,22.08.19.,"색깔.무게.기능까지 무엇하나 빠지는거없이
진짜좋아요. 여러개 구매해서 지인들 선물했는데 다들 좋아하네요",5,"['색깔', '무게', '기능', '빠지다', '진짜', '좋다', '여러', '구매', '지인', '선물', '들다', '좋아하다']"
748,22.07.10.,"우선 받자마자 얼음 넣고 실험해봐쓰영 ㅋㅋ
다음날까지는 얼음 녹지도 않더라구쿄? 40시간 정도 되니 녹아서 물이 살짝 생기신 했지만 얼음 살아있습니다! 그리고 한손으로 집기도 폄하고 색상도 예쁘고 가격대비 짱짱... 빨대도 주시고 닦는 솔도 주시다니 .. 가성비 짱 ! 웨 안사? 고민은 택배만 늦출뿐",5,"['받다', '얼음', '넣다', '실험', '해보다', '쓰다', '날', '얼음', '녹지', '않다', '쿄', '정도', '녹다', '물이', '살짝', '생기다', '얼음', '살다', '손', '집기', '펴다', '색상', '예쁘다', '가격', '대비', '짱짱', '빨대', '주시', '닦다', '솔', '주다', '가성', '비', '짱', '웨', '알다', '고민', '택배', '늦추다', '뿐']"
749,22.07.15.,"솔과 미끄럼 방지가 빠져서 문의 드리니 다시 보내주셨어요... 
외출시 9살 5살 두아이와 저의 필수품이예요.
신랑은 타사 900.. 11개월 막둥인 아직 빨대컵이라..
신랑을 위해 900짜리도 나오면 좋겠어요.",5,"['솔', '미끄럼', '방지', '빠지다', '문의', '드리다', '다시', '보내다', '외출', '시', '살', '살', '필수품', '신랑', '개월', '막둥', '빨대', '컵', '신랑', '위해', '리도', '나오다', '좋다']"
750,22.08.19.,일단 밀폐인게 너무 좋아오 ㅠ ㅠ 가격도 저렴하고 구성품도 알차요!! 완전 추천이에요,5,"['밀폐', '좋다', '가격', '저렴하다', '성품', '알차다', '완전', '추천']"
751,22.08.17.,여전히 만족스럽습니다,5,"['여전하다', '만족스럽다']"
752,22.08.20.,텀블러 구성이 좋습니다. 색상도 이쁘고 사이즈도 적당하고 선물용으로 샀는데 좋은것 같습니다,5,"['텀블러', '구성', '좋다', '색상', '이쁘다', '사이즈', '적당하다', '선물', '용', '사다', '좋다']"
756,22.07.29.,"용량 넉넉하고 좋습니다
손이 크지않아서그런지 잡고 움직일때 좀 불편하긴한데 가성비 만족해요",5,"['용량', '넉넉하다', '좋다', '손', '크다', '않다', '그렇다', '잡고', '움직이다', '불편하다', '가성', '비', '만족하다']"
757,22.08.15.,배송빠르고 가성비좋네요,5,"['배송', '빠르다', '가성', '비', '좋다']"
758,22.07.15.,"텀블러 교체해야되서 이리저리 알아보다  후기가 좋아 고민하다... 라이브 방송보고 구입..
혼자만 사용했는데.. 놀이터 나가는 애들이 탐내해 숨겨 놓은걸 다 꺼내준 신랑님..
출퇴근길과 외출시... 아이들 놀이터용으로 잘 쓰고 있어요..",5,"['텀블러', '교체', '서다', '알아보다', '후기', '좋다', '고민', '라이브', '방송', '보고', '구입', '사용', '놀이터', '나가다', '애', '숨기다', '놓다', '꺼내다', '신랑', '출퇴근길', '외출', '시', '놀이터', '용', '자다', '쓰다']"
759,22.07.28.,민트 블루 둘다 너무 마음에 드네요^^ 여름 휴가 앞두고 맘에 드는 텀블러 찾아서 다행이에요ㅎ 잘 사용 할께요~,5,"['민트', '블루', '두다', '마음', '드네', '여름', '휴가', '앞두다', '맘', '들다', '텀블러', '찾다', '다행', '자다', '사용']"
