Unnamed: 0,review,tokens
1476,빨대 없어도 마시기 편하고 잘 안 흘려 내려서 딱이에요ㅔ,"['빨대', '없다', '마시기', '편하다', '자다', '안', '흘리다', '내다', '딱이다']"
1477,디자인도 예쁘고 색도 마음에 들어서 재구매합니다,"['디자인', '예쁘다', '색도', '마음', '들어서다', '재다']"
1478,신랑이 텀블러 필요하다고 해서 구매했어요 ,"['신랑', '텀블러', '필요하다', '구매']"
1479,친구 선물로 샀는데 아주 마음에 들어 하네요 ㅎㅎㅎ 할인해서 잘 샀습니다 ,"['친구', '선물', '사다', '아주', '마음', '들다', '할인', '자다', '사다']"
1480,디자인에서 이미 끝났습니다,"['디자인', '끝나다']"
1481,생각 같아서는 가족 인원수대로 사주고 싶네요 좋아요,"['생각', '가족', '인원', '사주다', '좋다']"
1482,색도 예쁘고 흰색 사용 중인데 마음에 들어서 재구입해요,"['색도', '예쁘다', '흰색', '사용', '마음', '들어서다', '재', '구입']"
1483,좋아요 초록 초록하고 귀여운데 아쉬운 점은 뚜껑 부분이랑 몸통 부분 색상 차이가 나네요 흠,"['좋다', '초록', '초록', '귀엽다', '아쉽다', '점', '뚜껑', '부분', '몸통', '부분', '색상', '차이', '흠']"
1484,좋아요  좋아요 좋아요,"['좋다', '좋다', '좋다']"
1485,이뻐요 색상 잘 쓸게요,"['이쁘다', '색상', '자다', '쓸다']"
1486,손잡이가 있는 게 제일 맘에 들고 디자인 색상도 너무너무 맘이 듭니다 출근길이 잘 사용 중입니다 ㅎㅎ,"['손잡이', '제일', '맘', '들다', '디자인', '색상', '맘', '듭니', '출근길', '자다', '사용']"
1487,너무 좋네요 아이들용으로 또 구매할게요,"['좋다', '용', '구매']"
1488,제거 사려는데 아이들이 본인들도 갖고 싶다고 해서 여러 개 주문했어요 가볍고 너무 마음에 들어요,"['제거', '사다', '본인', '갖다', '여러', '주문', '가볍다', '마음', '들다']"
1489,오늘 첫 개시했는데 예쁘고 많이 무겁지 않아서 좋네요 ?? 잘 쓰겠습니다,"['오늘', '첫', '개시', '예쁘다', '무겁다', '않다', '좋다', '자다', '쓰다']"
1490,깔끔한 디자인에 보온 보냉이 잘됩니다,"['깔끔하다', '디자인', '보온', '보', '냉이']"
1491,회사에서 쓰려고 샀는데 디자인도 미니멀하고 너무 맘에 듭니다,"['회사', '쓰다', '사다', '디자인', '미니', '멀다', '맘', '듭니']"
1492,맘에 들어요 친정 갈 때 커피 담아서 가려고 씻어놨어요 노란색도 사고 싶네요,"['맘', '들다', '친정', '갈다', '커피', '담다', '씻다', '노란색', '사고']"
1493,배송은 2일 정도 걸린 거 같아요 디자인도 깔끔해서 좋고 길이는 적당하고 넓이가 통통해서 얼음 큰 거 넣기도 좋고요 저는 얼 죽어라 큰 원형 얼음 두 개 넣고 아메리카노 넣고 다닙 니다 고민 중이시면 구매하세요,"['배송', '정도', '걸리다', '디자인', '깔끔하다', '좋다', '길이', '적당하다', '넓이', '통통하다', '얼음', '크다', '넣기', '좋다', '얼', '죽다', '크다', '원형', '얼음', '두', '넣다', '아메리카노', '넣다', '다니다', '고민', '중이', '시', '구매']"
1494,빠르게 배송받고 잘 사용하려 합니다,"['빠르다', '배송', '받다', '자다', '사용']"
1495,한번 써보고 괜찮으면 다른 색도 사고 싶어요,"['한번', '써다', '보고', '괜찮다', '색도', '사고']"
