Unnamed: 0,date,review,rating,tokens
1021,19.11.06.,유리라서 그런지 용량에 비해 조금 무겁기는 하지만 보온의 용도이기도 하고 유리의 장점을 보고 주문한거라 감안할 수 있을 것 같네요! 만족합니다ㅎㅎ,4,"['유리', '그렇다', '용량', '비다', '무겁다', '보온', '용도', '유리', '장점', '보고', '주', '문', '한', '감안', '만족하다']"
1022,19.12.07.,"생각보다 가볍고 사진보다 실물이예뻐요!
선물로 줬는데 좋아하네요 :)",5,"['생각', '가볍다', '사진', '실물', '예쁘다', '선물', '주다', '좋아하다']"
1023,19.10.25.,"세지않고 가벼워서 좋아요
뚜껑열고닫기가 조금 힘들긴 한데 그만큼 세지않고 좋습니다 잘쓸게요",5,"['세지', '않다', '가볍다', '좋다', '뚜껑', '열다', '닫다', '힘들다', '세지', '않다', '좋다', '잘쓰다']"
1024,19.10.25.,도서관에서 사용하려고 구매했는데 배송도 빠르고! 색상도 이쁘고! 가볍구 아주 마음에 들어용,5,"['도서관', '사용', '구매', '배송', '빠르다', '색상', '이쁘다', '가볍다', '아주', '마음', '들다']"
1025,19.12.02.,"좋은 텀블러, 친절 상담",5,"['좋다', '텀블러', '친절', '상담']"
1026,19.12.08.,짱 좋아용~ 아주 잘쓰고 있어요^^ 보온력도 엄청 좋네유,5,"['짱', '좋다', '아주', '잘쓰다', '보온', '좋다', '유']"
1027,19.11.19.,잘 받았어요  일해용 들 쓸려고 삿어요 잘 쓸께요 ㅎㅎ,5,"['자다', '받다', '들다', '쓸리다', '삿어', '자다', '쓸다']"
1028,19.12.12.,사무실에서 차 마시기 딱 좋은것같아요.,4,"['사무실', '차', '마시기', '좋다']"
1029,19.11.26.,보기는 좋은데 보온효과는 떨어져요,4,"['보기', '좋다', '보온', '효과', '떨어지다']"
1030,19.11.29.,배송이 빠르구 무난하게 쓸만해요~ 보온보냉이 엄청 잘되는 정도는 아닌거같고 무난하게 됩니다~ 아아 넣어놓으면 두세시간은 시원한정도?,5,"['배송', '빠르다', '무난', '쓸다', '만해', '보온', '보', '냉이', '정도', '아니다', '무난', '아아', '넣다', '두세', '시원하다', '정도']"
1031,19.11.27.,"기능성, 가성비 모두 좋네요~",5,"['기능', '가성', '비', '좋다']"
1032,19.10.31.,크기도 적당하고 예쁩니당! 디자인도 무난하고 좋아요??,5,"['크기', '적당하다', '예쁘다', '디자인', '무난', '좋다']"
1033,19.11.01.,"컵은 참 이뻐요
근데 뚜껑 마감이 아쉽습니다
아직 사용전이라 물 새는 여부는 모르겠고
플라스틱 빨대가 같이왔어요",4,"['컵', '차다', '이쁘다', '뚜껑', '마감', '아쉽다', '사용', '전이', '물', '새다', '모르다', '플라스틱', '빨대', '오다']"
1034,19.12.12.,딸아이 기숙사보내려고 구매했네요~ 만족!!,5,"['딸아이', '기숙사', '보내다', '구매', '만족']"
1035,19.11.13.,"상품 퀄리티 좋구요, 캠핑, 사무실에서 잘 쓸거 같네요 감사합니다.",5,"['상품', '퀄리티', '좋다', '캠핑', '사무실', '자다', '쓸다', '감사하다']"
1037,19.10.27.,유리 텀블러 용량이 좀 적어서 아쉽고 무거워서 아쉽지만 차 우려 마시기에 넘 편하고 차 우려지는 농도도 확인 가능해서 좋아요 깔끔해서 차 마시는 기분도 업되어 좋네요,4,"['유리', '텀블러', '용량', '적다', '아쉽다', '무거워', '아쉽다', '차', '우려', '마시기', '편하다', '차', '우려', '농도', '확인', '가능하다', '좋다', '깔끔하다', '차', '마시다', '기분', '업', '좋다']"
1038,19.11.29.,무엇보다 가벼워서 좋습니다!!! 실리콘 잘 돼 있구요~~ 선물하려고 산 거라 물을 넣어보진 못했어요.,5,"['가볍다', '좋다', '실리콘', '자다', '선물', '산', '물', '넣다', '보다']"
1039,19.12.13.,따뜻함 오래 유지 되고 용량 커서 좋아요,5,"['따뜻하다', '유지', '용량', '커서', '좋다']"
1040,19.11.28.,"좋습니당! 
새지도 않고 가벼워요",5,"['좋다', '습', '니당다', '새', '지도', '않다', '가볍다']"
1041,19.10.24.,"가볍고 사용하기 편합니다.
가성비도 아주 좋습니다.
탁구공만한 얼음이 오전8시~오후5시까지 버텨주어 시원한 음료를 마시게 해주네요.
입구가 넓어 세척도 편해요
마니 파셔요",5,"['가볍다', '사용', '편하다', '가성', '비도', '아주', '좋다', '탁구공', '얼음', '오전', '버티다', '시원하다', '음료', '말다', '해주다', '입구', '넓다', '세척', '편하다', '말다', '파다']"
1042,19.10.27.,생각보다 크지 않아 가지고 다니기  딱 좋은 크기같습니다. 전체 스텐이라 청소도 쉽고 보온력도 괜찮은거 같습니다. 정말 만족스럽습니다.,4,"['생각', '크다', '않다', '가지', '다니다', '좋다', '크기', '전체', '스텐', '청소', '쉬다', '보온', '괜찮다', '정말', '만족스럽다']"
1043,19.10.24.,일단 깔끔하고 티백도 할수있어서 좋아용 위생적으로도 마음에 들어용 뭘 담아도 예쁘네요 ?????????,5,"['깔끔하다', '티백', '좋다', '위생', '마음', '들다', '뭘', '담다', '예쁘다']"
1044,19.10.22.,"이런종류의 텀블러를 찾구 있었는데 반값찬스일 때 득템했네요!
빨대컵은 가방에 넣으면 내용물이 새고 핫음료는 넣을 수 없는데다가 금방 때가 타서 별로였는데 이런 단점들을 이 텀블러가 보완해주는거같아여.

디자인도 넘 깔끔하구! 빨대들어가는거랑 사은품빨대도 잘쓸게여~~~:)",4,"['종류', '텀블러', '찾다', '반값', '찬스', '득템', '빨대', '컵', '가방', '넣다', '내용물', '새다', '핫', '음료', '넣다', '없다', '금방', '별로', '이렇다', '단점', '텀블러', '보완', '해주다', '디자인', '깔끔하다', '빨대', '들어가다', '사은', '품', '빨대', '잘쓰다']"
1045,19.11.04.,"따뜻한 온도가 반나절은 유지되서 좋아요!
여자 손이다보니 한손 들긴 버거우긴하지만 그래도 용량이 넉넉해 좋아요!!",5,"['따뜻하다', '온도', '반나절', '유지', '좋다', '여자', '손', '보다', '손', '들다', '버거', '우기다', '용량', '넉넉하다', '좋다']"
1046,19.12.16.,아주 좋아요 깔끔하네,5,"['아주', '좋다', '깔끔하다']"
1047,19.11.13.,제품 잘 받았습니다. 이쁘고 좋아요. 잘 쓰겠습니다.,5,"['제품', '자다', '받다', '이쁘다', '좋다', '자다', '쓰다']"
1048,19.12.13.,보온이 오래가고 가성비짱짱 입니다,5,"['보온', '가성', '가성비', '짱짱']"
1049,19.12.14.,고무바킹이 분리되고 보온이 약해요,3,"['고무', '바킹', '분리', '보온', '약하다']"
1050,19.11.21.,얼음 넣어서 쓰려고 했는데 날씨가 추워져서 따뜻한 물 넣어서 마시고 있습니다 보온 효과가 좋아서 온도가 오래 유지되네요 앞으로도 잘 쓰겠습니다^^,5,"['얼음', '넣다', '쓰다', '날씨', '추워지다', '따뜻하다', '물', '넣다', '말다', '보온', '효과', '좋다', '온도', '유지', '앞', '자다', '쓰다']"
1051,19.10.26.,"텀블러 좋네요 특가라 구입했는데 마음에 들어요 그란데사이즈도 충분하더라구요
둥근형태라 들고 다니기보다 차에서 쓰기 좋을것같아요
혹시나 뚜껑샐까 확인해봤는데 세게 흔들지 않는이상 안샐것같아요",4,"['텀블러', '좋다', '특가', '구입', '마음', '들다', '그란', '데', '사이즈', '충분하다', '둥글다', '형태', '들다', '다니다', '기보', '차', '쓰기', '좋다', '뚜껑', '새다', '확인', '해봤다', '세다', '흔들다', '않다', '새다']"
1052,19.11.19.,불편함을 친절함으로 응대해주셔서 감사합니다^^,4,"['불편하다', '친절하다', '응대', '해주다', '감사하다']"
1053,19.12.12.,보온이 아주 잘되고 예뻐요,5,"['보온', '아주', '예쁘다']"
1054,19.10.26.,"예전에 사서 겨울마다 정말 잘쓰고 있었어요 
가방에 넣고 가방에서 흘러서 저렇게 된 후로 언제 살까.. 하고 있던 차에 세일 하길래 바로 두개 질렀습니다!!
새로 온 것도 또 가방에서 흘러서 제대로 와장창 깨버렸지만
또 사려구요 
그만큼 깔끔하고 군더더기 없이 좋은 제품입니다 ^^
다음엔 한 10개 미리 사둘까 싶어요",5,"['예전', '사서', '겨울', '정말', '잘쓰다', '가방', '넣다', '가방', '흐르다', '후', '살다', '차', '세', '지르다', '새롭다', '온', '가방', '흐르다', '제대로', '깨', '버리다', '사다', '깔끔하다', '군더더기', '좋다', '제품', '미리', '두다']"
1055,19.12.15.,화면과 똑같아요 마음에 들어요,4,"['화면', '똑같다', '마음', '들다']"
