date,review,rating
21.10.07.,"기대보다 예뻐요!
물넣고 밀폐력테스트도 했는데,
안세고 좋네요
품질대비 가격이 싸서 더더 좋은거 같아요
텀플러 없다면 추천합니다!",5
21.10.18.,"가볍고 괜찮네요
배송도 빠르고 뚜껑 여닫을때 조금 뻑뻑한데
쓰다보면 좋아지겠죠",5
21.10.06.,가볍고 보온력도 좋고 이제 환절기라 목이 칼칼해서 따뜻한 음료를 싸들고 다니기 좋은데 특유의 스텐레스 냄새는 어떻게 해야하는지 그냥 오래 많이 들고다니다보면 사라지는지 궁금해요,5
21.10.13.,깔끔하고 좋아요 최고입니다 강추합니다,5
21.10.26.,"티 우려먹다보면 티백줄이랑 막 빠지고 불편한데
안에 쏙 넣어서 우려먹으면 깔끔하고
여러 번 편하게 우려먹기 좋아요
잘 쓰고 있습니다",5
21.10.07.,"안녕하세요 ~^^
제 전용 사용하고 있어서요~>-<♡
잘 쓰고 있어요.
다음에도  부탁드릴게요 ~^^",5
21.10.19.,"예전부터 구매하고싶었는데~~ 받아보고 아직  사용을 못해봤습니다 ㅎㅎ 
생각보다 깔끔하고 좋은것같아요  잘사용하겟습니다^^",5
21.09.28.,"좋아요 따뜻하고 뜨거운게 오래가네요
생각보다가볍고용",5
21.09.23.,사이즈가 작지도  크지도  않아서 휴대하기 딱 좋아요  너무이쁘네요,5
21.09.16.,올 여름 갈증 해소에 마이보틀이 많이 도움이 되었읍니다..올 겨울은 따뜻하게 해 주겠죠?..ㅎ..친한 동료들 하나씩 줄려고 재구매 했읍니다..많이 파세요~~^^,5
21.08.22.,"디자인 심플하니 예쁘고 가방에 커피 타서 넣고 다녀도 무겁지 않아서 좋아요 샘 없이 밀폐 잘되고요
레인보우 빨대도 같이 시켜봤는데 예쁘네여 ^^
처음에 배송온게 하자가 있어서 문의드렸었는데 빠르게 처리 받아서 좋았구요",5
21.10.10.,좋아요 이쁘고 편리하게 사용할거 같아요,5
21.10.04.,텀블러치고 가격도저렴하고 좋아요,5
21.10.02.,디자인도 이쁘고 가성비 굿입니다,3
21.08.28.,"지금까지 사용한 제품들보다
가성비 좋고 튼튼합니다.
보온도 잘 되고
좋습니다.",5
21.09.13.,잘받았습니다 감사합니다,5
21.08.13.,얼음 넣고 있으면 오래가요 너무 좋아요,5
21.07.02.,"한달하고 3일 만에 떨어뜨린적도 없는데 흔들면 유리깨진 소리가 남.
전화하니 동영상 보내달라고 함.
눈으로 확인하겠다며 택배로 보내라고 함.
배송비 15,000원 이라나?
하자면 새물건 준다함.
새물건 14,900 원임.
장난하시나?
동영상보면 물건문제인건 당연하지 왕복배송비라니.
AS라고 하지 마이소. 사람바보로 아나.
제주라도 편도 4천원이면 배송되오.
그냥 뽑기 실패하면 버려야 되는 물건!!!!",1
21.08.17.,"올여름은이녀석덕분에시원하게
보내고있어요~~",5
21.08.11.,사용전이지만 마음에  들어요,4
21.08.05.,만족합니다 좋았어요 굿굿,5
21.07.29.,"고급져 보입니다.
늘 구매하는 제품들입니다.",5
21.07.13.,보통입니다. 가격도 싸진 않지만 비싸지도 않은 것이 그냥 그럭저럭이네요.,3
21.07.06.,마개가 너무 뻑뻑해서 손가락 아파요... 이것만 아니었으면 좋았을텐데 아쉽네요.,3
21.07.21.,배송도 빠르고 잘왔습니다 :),5
21.07.31.,생각보다 입구가 좋은 것을 제외하고 가격대비 괜찮아요,4
21.08.10.,빠른배송감사합니당~,5
21.06.04.,"생각보다 가벼워서 좋았구요
밀폐되는데 가격도 착하고 좋네요
다만 마시는부분(불투명하얀플라스틱)뚜껑열고닫을때가 많을건데 표시한것처럼 고정부분이 너무약해보여서 조만간 부숴질듯ㅜㅜ
제가워낙 잘떨어뜨리는 스타일이라ㅋ 뚜껑열린상태로 떨어지면 바로사망각이네요",5
21.07.07.,"입구가 생각보다 좁네요.
세척솔 다시 사야겠음",5
21.06.22.,밀폐 잘 되는데 오늘 가방에 넣고 다니다가 빨대 구멍이 열려서 가방에 흘렸어요.. 실리콘 뚜껑이 혼자 왜 열렸는지 모르겠는데 혹시 사실분들 주의하세요 무게는 적당하고 가벼운 편 같아요,5
21.07.09.,구매평이 많아서 구입했는데 너무 만족스럽습니다~,5
21.07.04.,막 냄새도 안 나고 보온보냉 엄청 잘 돼요!,4
21.07.07.,"튼튼하고 좋습니다
항상 믿고 사용합니다",5
21.07.08.,가볍고  모양 심플하고 좋아요.,4
21.07.06.,배송도 빠르고 좋네요,5
21.07.03.,"얼음도 오래 남아있어 시원하게
잘 마시고있습다",5
21.06.04.,"유리로 된거 워낙 좋아해서 별 거부감없이 잘 쓸거같아요
약간무게는 있고 뚜껑은 플라스틱에 스텐처리되어있어요
안에 거름망은 식용유묻혀 닦아내고 세척한다고 빼놨어요
스텐 쇠냄새 좀 심해서 베이킹소다+식초 세천도 해야되요ㅎ",5
21.06.26.,얼음이 오래 가서 좋아요,5
21.07.07.,빨대 꼽는 부분이 조금 조잡스럽긴 하지만 ㅎㅎ 예뻐요. 만족,5
21.05.31.,사이즈 적당하고 깔끔합니다. 예뻐요. 스텐빨대 추가했는데 고급집니다,5
21.06.29.,자주 잘 사용하고있어요. 수고하세요,4
21.07.01.,뚜껑 잘 닫으면 보온보냉 잘됩니당,5
21.06.10.,선물했는데 좋아요!??,5
21.05.30.,"너무 작은 글씨로 기재되어있어 스텐 보틀 커버도 구성에 포함되어 있는줄 알았어요ㅜㅜ 눈에 잘띄게 해주시고 함께 추가 주문할수있게 하시면 좋을듯... 확인후 따로 구매하려니 배송비 추가로 좀... 
구매하실분들 참고하세요",3
21.04.21.,"배송 하루만에 왔어요! 가볍고 좋은데 .. 
조그맣게 뭐가 묻어왔어요 안지워지네요 ??

+ 신문지 인쇄면? 만지고 들었더니 이렇게 자국이 .. 바로 퐁퐁으로 닦았는데 안지워져요 ㅠㅠ 하루만에 이렇게 되어버려서 속상하네요 .. 매트가 예뻐서 선택한건데 .. 유광으로 살껄그랬나봐요 ??",3
21.06.09.,잘받았습니다 잘쓸게요,5
21.04.29.,"여기 제품이 제일 깔끔한 아이보리에 불필요한 무늬가 없어서 캠핑용 리폼하기 좋을거 같아 구매했는데 받아보니 너무 사길잘했어요. 전체적으로 튼튼해보이고, 뚜껑부분도 마음에 듭니다. 캠핑아니더라도 평소에 매일 들고다니려구요^^",5
21.05.18.,"맨날 보틀 떨궈서 부러지고 터지고 난리도 아니였는데 
이번에는 튼튼해요 ! 찍히고 굴러도 이상이 없어요
든든합니다!",5
21.05.31.,디자인이 깔끔해서 좋아여~~,4
21.04.13.,"좀 더 클거라고 생각 했는데.. 생각보다 좀 작아여
리모콘이랑 비교 사진 첨부 합니다.
여기저기 찾아보다  디자인이랑 가방에 편하게 넣어가지고 다닐만한거 찾다가 구매 하였습니다. 크기가 좀 아쉬워여~ 크기외 모두 마음에 들어여",3
21.06.01.,완전 밀폐인가? 싶긴한데 그래도 단단하고 편해서 좋아요.,5
21.06.05.,손에 쏙들어오고 보냉 좋고 이쁩니다,5
21.05.28.,"잘 쓰고 있습니다
무게감 약간 있어요",4
21.05.25.,넘 이쁘고 좋아요 걱정햇는데 좋은 텀블러에요,5
21.05.09.,"가격, 성능 만족해요",5
